2	0.08333333333333337
3	0.00034722222222222256
4	0.0001543209876543213
5	5.166997354497375e-7
6	2.9100529100529266e-7
7	6.379009079626406e-10
8	3.911696920845636e-10
9	5.893249576958621e-13
10	3.775561747213066e-13
11	4.118303556134245e-16
12	2.70980934959049e-16
13	2.2319997741098906e-19
14	1.495294632119985e-19
15	9.614672134101316e-23
16	6.525165625607007e-23
17	3.363426065927292e-26
18	2.3050673253402195e-26
19	9.732510679494169e-30
20	6.721171849614189e-30
21	2.3663387976074478e-33
22	1.6442329039692786e-33
23	4.899787908453877e-37
24	3.4217911093658997e-37
25	8.741110425080673e-41
26	6.130187858226085e-41
27	1.3571568560893816e-44
28	9.551930823698012e-45
29	1.850169711549003e-48
30	1.3061958048378448e-48
31	2.232055190766099e-52
32	1.5800180753643889e-52
33	2.3995305793026567e-56
34	1.7025548524190392e-56
35	2.312983594134999e-60
