0.000000 	 -0.259451 
0.001000 	 -0.256788 
0.002000 	 -0.254128 
0.003000 	 -0.251472 
0.004000 	 -0.248819 
0.005001 	 -0.246169 
0.006001 	 -0.243523 
0.007001 	 -0.240880 
0.008001 	 -0.238240 
0.009001 	 -0.235604 
0.010001 	 -0.232971 
0.011001 	 -0.230341 
0.012001 	 -0.227714 
0.013001 	 -0.225091 
0.014001 	 -0.222471 
0.015002 	 -0.219854 
0.016002 	 -0.217241 
0.017002 	 -0.214631 
0.018002 	 -0.212024 
0.019002 	 -0.209420 
0.020002 	 -0.206820 
0.021002 	 -0.204223 
0.022002 	 -0.201629 
0.023002 	 -0.199039 
0.024002 	 -0.196452 
0.025003 	 -0.193868 
0.026003 	 -0.191287 
0.027003 	 -0.188710 
0.028003 	 -0.186135 
0.029003 	 -0.183564 
0.030003 	 -0.180997 
0.031003 	 -0.178432 
0.032003 	 -0.175871 
0.033003 	 -0.173313 
0.034003 	 -0.170759 
0.035004 	 -0.168207 
0.036004 	 -0.165659 
0.037004 	 -0.163114 
0.038004 	 -0.160572 
0.039004 	 -0.158034 
0.040004 	 -0.155499 
0.041004 	 -0.152967 
0.042004 	 -0.150438 
0.043004 	 -0.147912 
0.044004 	 -0.145390 
0.045005 	 -0.142871 
0.046005 	 -0.140355 
0.047005 	 -0.137842 
0.048005 	 -0.135333 
0.049005 	 -0.132827 
0.050005 	 -0.130324 
0.051005 	 -0.127824 
0.052005 	 -0.125328 
0.053005 	 -0.122834 
0.054005 	 -0.120344 
0.055006 	 -0.117857 
0.056006 	 -0.115373 
0.057006 	 -0.112893 
0.058006 	 -0.110415 
0.059006 	 -0.107941 
0.060006 	 -0.105470 
0.061006 	 -0.103003 
0.062006 	 -0.100538 
0.063006 	 -0.098077 
0.064006 	 -0.095618 
0.065007 	 -0.093163 
0.066007 	 -0.090712 
0.067007 	 -0.088263 
0.068007 	 -0.085817 
0.069007 	 -0.083375 
0.070007 	 -0.080936 
0.071007 	 -0.078500 
0.072007 	 -0.076067 
0.073007 	 -0.073638 
0.074007 	 -0.071211 
0.075008 	 -0.068788 
0.076008 	 -0.066368 
0.077008 	 -0.063951 
0.078008 	 -0.061537 
0.079008 	 -0.059127 
0.080008 	 -0.056719 
0.081008 	 -0.054315 
0.082008 	 -0.051914 
0.083008 	 -0.049516 
0.084008 	 -0.047121 
0.085009 	 -0.044729 
0.086009 	 -0.042340 
0.087009 	 -0.039955 
0.088009 	 -0.037573 
0.089009 	 -0.035194 
0.090009 	 -0.032818 
0.091009 	 -0.030445 
0.092009 	 -0.028075 
0.093009 	 -0.025708 
0.094009 	 -0.023345 
0.095010 	 -0.020984 
0.096010 	 -0.018627 
0.097010 	 -0.016273 
0.098010 	 -0.013922 
0.099010 	 -0.011574 
0.100010 	 -0.009229 
0.101010 	 -0.006888 
0.102010 	 -0.004549 
0.103010 	 -0.002214 
0.104010 	 0.000119 
0.105011 	 0.002448 
0.106011 	 0.004774 
0.107011 	 0.007097 
0.108011 	 0.009417 
0.109011 	 0.011734 
0.110011 	 0.014047 
0.111011 	 0.016358 
0.112011 	 0.018666 
0.113011 	 0.020970 
0.114011 	 0.023271 
0.115012 	 0.025570 
0.116012 	 0.027865 
0.117012 	 0.030157 
0.118012 	 0.032446 
0.119012 	 0.034732 
0.120012 	 0.037015 
0.121012 	 0.039294 
0.122012 	 0.041571 
0.123012 	 0.043845 
0.124012 	 0.046115 
0.125013 	 0.048383 
0.126013 	 0.050647 
0.127013 	 0.052909 
0.128013 	 0.055167 
0.129013 	 0.057422 
0.130013 	 0.059674 
0.131013 	 0.061924 
0.132013 	 0.064170 
0.133013 	 0.066413 
0.134013 	 0.068653 
0.135014 	 0.070890 
0.136014 	 0.073123 
0.137014 	 0.075354 
0.138014 	 0.077582 
0.139014 	 0.079807 
0.140014 	 0.082029 
0.141014 	 0.084247 
0.142014 	 0.086463 
0.143014 	 0.088675 
0.144014 	 0.090885 
0.145015 	 0.093092 
0.146015 	 0.095295 
0.147015 	 0.097496 
0.148015 	 0.099693 
0.149015 	 0.101888 
0.150015 	 0.104079 
0.151015 	 0.106267 
0.152015 	 0.108453 
0.153015 	 0.110635 
0.154015 	 0.112815 
0.155016 	 0.114991 
0.156016 	 0.117164 
0.157016 	 0.119335 
0.158016 	 0.121502 
0.159016 	 0.123666 
0.160016 	 0.125828 
0.161016 	 0.127986 
0.162016 	 0.130141 
0.163016 	 0.132294 
0.164016 	 0.134443 
0.165017 	 0.136590 
0.166017 	 0.138733 
0.167017 	 0.140873 
0.168017 	 0.143011 
0.169017 	 0.145145 
0.170017 	 0.147277 
0.171017 	 0.149405 
0.172017 	 0.151531 
0.173017 	 0.153653 
0.174017 	 0.155773 
0.175018 	 0.157889 
0.176018 	 0.160003 
0.177018 	 0.162114 
0.178018 	 0.164221 
0.179018 	 0.166326 
0.180018 	 0.168428 
0.181018 	 0.170526 
0.182018 	 0.172622 
0.183018 	 0.174715 
0.184018 	 0.176805 
0.185019 	 0.178892 
0.186019 	 0.180976 
0.187019 	 0.183057 
0.188019 	 0.185135 
0.189019 	 0.187210 
0.190019 	 0.189283 
0.191019 	 0.191352 
0.192019 	 0.193418 
0.193019 	 0.195482 
0.194019 	 0.197542 
0.195020 	 0.199600 
0.196020 	 0.201654 
0.197020 	 0.203706 
0.198020 	 0.205755 
0.199020 	 0.207801 
0.200020 	 0.209844 
0.201020 	 0.211884 
0.202020 	 0.213921 
0.203020 	 0.215955 
0.204020 	 0.217986 
0.205021 	 0.220014 
0.206021 	 0.222040 
